宿名,编号,拼音,天体方位,角度,角度起始,角度截至,五方
斗,1,dǒu,北方玄武七宿,26,267,293,北方
牛,2,niú,北方玄武七宿,8,293,301,北方
女,3,nǚ,北方玄武七宿,12,301,313,北方
虚,4,xū,北方玄武七宿,10,313,323,北方
危,5,wēi,北方玄武七宿,17,323,340,北方
室,6,shì,北方玄武七宿,16,340,356,北方
壁,7,bì,北方玄武七宿,9,356,365,北方
奎,8,kuí,西方白虎七宿,16,0,16,西方
娄,9,lóu,西方白虎七宿,12,16,28,西方
胃,10,wèi,西方白虎七宿,14,28,42,西方
昴,11,mǎo,西方白虎七宿,11,42,53,西方
毕,12,bì,西方白虎七宿,16,53,69,西方
觜,13,zī,西方白虎七宿,2,69,71,西方
参,14,shēn,西方白虎七宿,9,71,80,西方
井,15,jǐng,南方朱雀七宿,33,80,113,南方
鬼,16,guǐ,南方朱雀七宿,4,113,117,南方
柳,17,liǔ,南方朱雀七宿,15,117,132,南方
星,18,xīng,南方朱雀七宿,7,132,139,南方
张,19,zhāng,南方朱雀七宿,18,139,157,南方
翼,20,yì,南方朱雀七宿,18,157,175,南方
轸,21,zhěn,南方朱雀七宿,17,175,192,南方
角,22,jiǎo,东方苍龙七宿,12,192,204,东方
亢,23,kàng,东方苍龙七宿,9,204,213,东方
氐,24,dī,东方苍龙七宿,15,213,228,东方
房,25,fáng,东方苍龙七宿,5,228,233,东方
心,26,xīn,东方苍龙七宿,5,233,238,东方
尾,27,wěi,东方苍龙七宿,18,238,256,东方
箕,28,jī,东方苍龙七宿,11,256,267,东方
